TARGET_CLASS,algorithm,BranchCoverage,CoverageTimeline_T1,CoverageTimeline_T2,CoverageTimeline_T3,CoverageTimeline_T4,CoverageTimeline_T5,CoverageTimeline_T6,CoverageTimeline_T7,CoverageTimeline_T8,CoverageTimeline_T9,CoverageTimeline_T10,CoverageTimeline_T11,CoverageTimeline_T12,CoverageTimeline_T13,CoverageTimeline_T14,CoverageTimeline_T15,CoverageTimeline_T16,CoverageTimeline_T17,CoverageTimeline_T18,CoverageTimeline_T19,CoverageTimeline_T20
SubjectParser,NOVELTY,0.7741935484,0.4838709677,0.4838709677,0.4838709677,0.485081227,0.5083554438,0.5316296607,0.5549038775,0.5781780943,0.6014523111,0.624726528,0.6480007448,0.6712749616,0.6945491784,0.7178233952,0.7410976121,0.7419354839,0.7419354839,0.7419354839,0.7419354839,0.7419354839
SubjectParser,NOVELTY,0.8064516129,0.4193548387,0.4193548387,0.4193548387,0.4248134814,0.4607256044,0.4966377275,0.5325498505,0.5684619736,0.6043740966,0.6402862196,0.6761983427,0.7121104657,0.7480225887,0.7839347118,0.8064516129,0.8064516129,0.8064516129,0.8064516129,0.8064516129,0.8064516129
Average,,0.7903225807,,,,,,,,,,,,,,,,,,,,
StringReader,NOVELTY,1,0.2222222222,0.2222222222,0.228113875,0.3077308038,0.3873477326,0.4669646615,0.5465815903,0.6261985191,0.705815448,0.7854323768,0.8650493056,0.9446662345,1,1,1,1,1,1,1,1
StringReader,NOVELTY,1,0.7037037037,0.7037037037,0.7037037037,0.7570628939,0.8158285219,0.8518518519,0.8518518519,0.8518518519,0.8518518519,0.8518518519,0.8518518519,0.8518518519,1,1,1,1,1,1,1,1
StringReader,NOVELTY,1,0.3703703704,0.3703703704,0.4070153215,0.5578175896,0.7086198576,0.7407407407,0.7407407407,0.7407407407,0.7407407407,0.7407407407,0.7407407407,0.7407407407,1,1,1,1,1,1,1,1
StringReader,NOVELTY,1,0.7777777778,0.7777777778,0.7777777778,0.7777777778,0.7777777778,0.7777777778,0.7777777778,0.7777777778,0.7777777778,0.7777777778,0.7777777778,0.7777777778,1,1,1,1,1,1,1,1
StringReader,NOVELTY,1,0.8518518519,0.8518518519,0.8578795794,0.8727628573,0.8876461352,0.9025294131,0.917412691,0.9322959689,0.9471792468,0.9620625247,0.9769458025,0.9918290804,1,1,1,1,1,1,1,1
StringReader,NOVELTY,1,0.5185185185,0.5185185185,0.5378690727,0.5874858783,0.6371026839,0.6867194895,0.7363362951,0.7859531007,0.8355699063,0.8851867119,0.9348035174,0.984420323,1,1,1,1,1,1,1,1
StringReader,NOVELTY,1,0.7777777778,0.7777777778,0.7777777778,0.7777777778,0.7777777778,0.7777777778,0.7777777778,0.7777777778,0.7777777778,0.7777777778,0.7777777778,0.7777777778,1,1,1,1,1,1,1,1
StringReader,NOVELTY,1,0.7037037037,0.7037037037,0.7037037037,0.7570628939,0.8158285219,0.8518518519,0.8518518519,0.8518518519,0.8518518519,0.8518518519,0.8518518519,0.8518518519,1,1,1,1,1,1,1,1
StringReader,NOVELTY,1,0.8518518519,0.8518518519,0.8578795794,0.8727628573,0.8876461352,0.9025294131,0.917412691,0.9322959689,0.9471792468,0.9620625247,0.9769458025,0.9918290804,1,1,1,1,1,1,1,1
StringReader,NOVELTY,1,0.7037037037,0.7037037037,0.7037037037,0.7570628939,0.8158285219,0.8518518519,0.8518518519,0.8518518519,0.8518518519,0.8518518519,0.8518518519,0.8518518519,1,1,1,1,1,1,1,1
Average,,1,,,,,,,,,,,,,,,,,,,,
HSLColor,NOVELTY,0.9014084507,0.8732394366,0.8732394366,0.8732394366,0.8732394366,0.8732394366,0.8732394366,0.8732394366,0.8732394366,0.8732394366,0.8732394366,0.8732394366,0.8732394366,0.9014084507,0.9014084507,0.9014084507,0.9014084507,0.9014084507,0.9014084507,0.9014084507,0.9014084507
HSLColor,NOVELTY,0.9014084507,0.8732394366,0.8732394366,0.8732394366,0.8732394366,0.8732394366,0.8732394366,0.8732394366,0.8732394366,0.8732394366,0.8732394366,0.8732394366,0.8732394366,0.9014084507,0.9014084507,0.9014084507,0.9014084507,0.9014084507,0.9014084507,0.9014084507,0.9014084507
HSLColor,NOVELTY,0.9014084507,0.8450704225,0.8450704225,0.8450704225,0.8502675317,0.8559536468,0.8616397619,0.8673258769,0.873011992,0.8732394366,0.8732394366,0.8732394366,0.8732394366,0.9014084507,0.9014084507,0.9014084507,0.9014084507,0.9014084507,0.9014084507,0.9014084507,0.9014084507
HSLColor,NOVELTY,0.9014084507,0.8732394366,0.8732394366,0.8732394366,0.8732394366,0.8732394366,0.8732394366,0.8732394366,0.8732394366,0.8732394366,0.8732394366,0.8732394366,0.8732394366,0.9014084507,0.9014084507,0.9014084507,0.9014084507,0.9014084507,0.9014084507,0.9014084507,0.9014084507
HSLColor,NOVELTY,0.9014084507,0.8732394366,0.8732394366,0.8732394366,0.8732394366,0.8732394366,0.8732394366,0.8732394366,0.8732394366,0.8732394366,0.8732394366,0.8732394366,0.8732394366,0.9014084507,0.9014084507,0.9014084507,0.9014084507,0.9014084507,0.9014084507,0.9014084507,0.9014084507
HSLColor,NOVELTY,0.9014084507,0.8732394366,0.8732394366,0.8732394366,0.8732394366,0.8732394366,0.8732394366,0.8732394366,0.8732394366,0.8732394366,0.8732394366,0.8732394366,0.8732394366,0.9014084507,0.9014084507,0.9014084507,0.9014084507,0.9014084507,0.9014084507,0.9014084507,0.9014084507
HSLColor,NOVELTY,0.9014084507,0.8732394366,0.8732394366,0.8732394366,0.8732394366,0.8732394366,0.8732394366,0.8732394366,0.8732394366,0.8732394366,0.8732394366,0.8732394366,0.8732394366,0.9014084507,0.9014084507,0.9014084507,0.9014084507,0.9014084507,0.9014084507,0.9014084507,0.9014084507
HSLColor,NOVELTY,0.9014084507,0.8450704225,0.8450704225,0.8450704225,0.8502675317,0.8559536468,0.8616397619,0.8673258769,0.873011992,0.8732394366,0.8732394366,0.8732394366,0.8732394366,0.9014084507,0.9014084507,0.9014084507,0.9014084507,0.9014084507,0.9014084507,0.9014084507,0.9014084507
HSLColor,NOVELTY,0.9014084507,0.8732394366,0.8732394366,0.8732394366,0.8732394366,0.8732394366,0.8732394366,0.8732394366,0.8732394366,0.8732394366,0.8732394366,0.8732394366,0.8732394366,0.9014084507,0.9014084507,0.9014084507,0.9014084507,0.9014084507,0.9014084507,0.9014084507,0.9014084507
HSLColor,NOVELTY,0.9014084507,0.8732394366,0.8732394366,0.8732394366,0.8732394366,0.8732394366,0.8732394366,0.8732394366,0.8732394366,0.8732394366,0.8732394366,0.8732394366,0.8732394366,0.9014084507,0.9014084507,0.9014084507,0.9014084507,0.9014084507,0.9014084507,0.9014084507,0.9014084507
Average,,0.9014084507,,,,,,,,,,,,,,,,,,,,
ChunkedLongArray,NOVELTY,0.9032258065,0.1290322581,0.1290322581,0.1290322581,0.2071322742,0.3684959439,0.4838709677,0.4838709677,0.4838709677,0.4838709677,0.4838709677,0.4838709677,0.4838709677,0.9032258065,0.9032258065,0.9032258065,0.9032258065,0.9032258065,0.9032258065,0.9032258065,0.9032258065
ChunkedLongArray,NOVELTY,0.9032258065,0.1935483871,0.1935483871,0.1935483871,0.4019476567,0.6183539596,0.717988784,0.7323683075,0.7467478311,0.7611273546,0.7755068782,0.7898864018,0.8042659253,0.8186454489,0.8330249724,0.847404496,0.8617840196,0.8761635431,0.8905430667,0.9032258065,0.9032258065
ChunkedLongArray,NOVELTY,0.9032258065,0.1290322581,0.1290322581,0.1295486166,0.2586382478,0.3877278791,0.4155765516,0.4105721978,0.405567844,0.4005634902,0.3955591364,0.3905547827,0.9032258065,0.9032258065,0.9032258065,0.9032258065,0.9032258065,0.9032258065,0.9032258065,0.9032258065,0.9032258065
ChunkedLongArray,NOVELTY,0.9032258065,0.5161290323,0.5161290323,0.5161290323,0.6023101323,0.736968101,0.8064516129,0.8064516129,0.8064516129,0.8064516129,0.8064516129,0.8064516129,0.8064516129,0.9032258065,0.9032258065,0.9032258065,0.9032258065,0.9032258065,0.9032258065,0.9032258065,0.9032258065
ChunkedLongArray,NOVELTY,0.9032258065,0.3548387097,0.3548387097,0.3548387097,0.3585586344,0.3725960864,0.3866335383,0.4107139368,0.4351370626,0.4595601884,0.4839833141,0.5084064399,0.5328295657,0.9032258065,0.9032258065,0.9032258065,0.9032258065,0.9032258065,0.9032258065,0.9032258065,0.9032258065
ChunkedLongArray,NOVELTY,0.9032258065,0.3870967742,0.3870967742,0.3870967742,0.3870967742,0.3870967742,0.4365504332,0.5526388345,0.6451612903,0.6451612903,0.6451612903,0.6451612903,0.6451612903,0.6451612903,0.6451612903,0.9032258065,0.9032258065,0.9032258065,0.9032258065,0.9032258065,0.9032258065
ChunkedLongArray,NOVELTY,0.7419354839,0.2258064516,0.2258064516,0.2258064516,0.2811333179,0.3399916863,0.3988500546,0.457708423,0.5165667914,0.5754251597,0.6342835281,0.6931418965,0.7419354839,0.7419354839,0.7419354839,0.7419354839,0.7419354839,0.7419354839,0.7419354839,0.7419354839,0.7419354839
ChunkedLongArray,NOVELTY,0.7419354839,0.3548387097,0.3548387097,0.3548387097,0.3548387097,0.4151423904,0.4952269597,0.5247500035,0.5364157291,0.5480814548,0.5597471804,0.6931418965,0.6931418965,0.7419354839,0.7419354839,0.7419354839,0.7419354839,0.7419354839,0.7419354839,0.7419354839,0.7419354839
ChunkedLongArray,NOVELTY,0.9032258065,0.2903225806,0.2903225806,0.2903225806,0.3000708968,0.3806354935,0.4516129032,0.4516129032,0.4516129032,0.4516129032,0.4516129032,0.4516129032,0.4516129032,0.4516129032,0.4516129032,0.4516129032,0.4516129032,0.4516129032,0.4516129032,0.4516129032,0.9032258065
ChunkedLongArray,NOVELTY,0.9032258065,0.3870967742,0.3870967742,0.3870967742,0.3870967742,0.3870967742,0.4365504332,0.5526388345,0.6451612903,0.6451612903,0.6451612903,0.6451612903,0.6451612903,0.6451612903,0.6451612903,0.9032258065,0.9032258065,0.9032258065,0.9032258065,0.9032258065,0.9032258065
Average,,0.8709677419,,,,,,,,,,,,,,,,,,,,
