TARGET_CLASS,algorithm,BranchCoverage,CoverageTimeline_T1,CoverageTimeline_T2,CoverageTimeline_T3,CoverageTimeline_T4,CoverageTimeline_T5,CoverageTimeline_T6,CoverageTimeline_T7,CoverageTimeline_T8,CoverageTimeline_T9,CoverageTimeline_T10,CoverageTimeline_T11,CoverageTimeline_T12,CoverageTimeline_T13,CoverageTimeline_T14,CoverageTimeline_T15,CoverageTimeline_T16,CoverageTimeline_T17,CoverageTimeline_T18,CoverageTimeline_T19,CoverageTimeline_T20
StringReader,MONOTONICGA,1,0.5185185185,0.5185185185,0.9153439153,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
StringReader,MONOTONICGA,1,0.5925925926,0.5925925926,0.84375,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
StringReader,MONOTONICGA,1,0.5555555556,0.5555555556,0.6204037973,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
StringReader,MONOTONICGA,1,0.2962962963,0.2962962963,0.7509393451,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
StringReader,MONOTONICGA,1,0.8148148148,0.8148148148,0.8587570621,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
StringReader,MONOTONICGA,1,0.6296296296,0.6296296296,0.6467024645,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
StringReader,MONOTONICGA,1,0.037037037,0.037037037,0.5245168047,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Average,,1,,,,,,,,,,,,,,,,,,,,
HSLColor,MONOTONICGA,0.9154929577,0.9014084507,0.9014084507,0.9014084507,0.9014084507,0.9014084507,0.9014084507,0.9014084507,0.9014084507,0.9097614076,0.9154929577,0.9154929577,0.9154929577,0.9154929577,0.9154929577,0.9154929577,0.9154929577,0.9154929577,0.9154929577,0.9154929577,0.9154929577
HSLColor,MONOTONICGA,0.9014084507,0.6338028169,0.6338028169,0.9014084507,0.9014084507,0.9014084507,0.9014084507,0.9014084507,0.9014084507,0.9014084507,0.9014084507,0.9014084507,0.9014084507,0.9014084507,0.9014084507,0.9014084507,0.9014084507,0.9014084507,0.9014084507,0.9014084507,0.9014084507
HSLColor,MONOTONICGA,0.9154929577,0.9154929577,0.9154929577,0.9154929577,0.9154929577,0.9154929577,0.9154929577,0.9154929577,0.9154929577,0.9154929577,0.9154929577,0.9154929577,0.9154929577,0.9154929577,0.9154929577,0.9154929577,0.9154929577,0.9154929577,0.9154929577,0.9154929577,0.9154929577
