TARGET_CLASS,algorithm,BranchCoverage,CoverageTimeline_T1,CoverageTimeline_T2,CoverageTimeline_T3,CoverageTimeline_T4,CoverageTimeline_T5,CoverageTimeline_T6,CoverageTimeline_T7,CoverageTimeline_T8,CoverageTimeline_T9,CoverageTimeline_T10,CoverageTimeline_T11,CoverageTimeline_T12,CoverageTimeline_T13,CoverageTimeline_T14,CoverageTimeline_T15,CoverageTimeline_T16,CoverageTimeline_T17,CoverageTimeline_T18,CoverageTimeline_T19,CoverageTimeline_T20,CoverageTimeline_T21,CoverageTimeline_T22,CoverageTimeline_T23,CoverageTimeline_T24,CoverageTimeline_T25,CoverageTimeline_T26,CoverageTimeline_T27,CoverageTimeline_T28,CoverageTimeline_T29,CoverageTimeline_T30
SubjectParser,MONOTONICGA,0.8387096774,0.6774193548,0.6774193548,0.6774193548,0.7428365471,0.7741935484,0.7741935484,0.8382692943,0.8387096774,0.8387096774,0.8387096774,0.8387096774,0.8387096774,0.8387096774,0.8387096774,0.8387096774,0.8387096774,0.8387096774,0.8387096774,0.8387096774,0.8387096774,0.8387096774,0.8387096774,0.8387096774,0.8387096774,0.8387096774,0.8387096774,0.8387096774,0.8387096774,0.8387096774,0.8387096774
SubjectParser,MONOTONICGA,0.8387096774,0.3225806452,0.3225806452,0.3225806452,0.7283154122,0.7419354839,0.7096774194,0.7704534829,0.8387096774,0.8387096774,0.8387096774,0.8387096774,0.8387096774,0.8387096774,0.8387096774,0.8387096774,0.8387096774,0.8387096774,0.8387096774,0.8387096774,0.8387096774,0.8387096774,0.8387096774,0.8387096774,0.8387096774,0.8387096774,0.8387096774,0.8387096774,0.8387096774,0.8387096774,0.8387096774
SubjectParser,MONOTONICGA,0.8387096774,0.6451612903,0.6451612903,0.6451612903,0.7419354839,0.7419354839,0.7419354839,0.7610318752,0.7741935484,0.7741935484,0.7741935484,0.7741935484,0.7741935484,0.7741935484,0.7741935484,0.7741935484,0.7741935484,0.7741935484,0.7741935484,0.7741935484,0.8034351145,0.8387096774,0.8387096774,0.8387096774,0.8387096774,0.8387096774,0.8387096774,0.8387096774,0.8387096774,0.8387096774,0.8387096774
Average:,,0.8387096774,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
StringReader,MONOTONICGA,1,0.2962962963,0.2962962963,0.2962962963,0.7217473884,0.8518518519,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
StringReader,MONOTONICGA,1,0.5555555556,0.5555555556,0.5555555556,0.8148148148,0.9238312863,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
StringReader,MONOTONICGA,1,0.5185185185,0.5185185185,0.5185185185,0.8148148148,0.9608763693,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
StringReader,MONOTONICGA,1,0.2962962963,0.2962962963,0.2962962963,0.8148148148,0.9155555556,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
StringReader,MONOTONICGA,1,0.5555555556,0.5555555556,0.5555555556,0.8148148148,0.8951507208,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
StringReader,MONOTONICGA,1,0.6666666667,0.6666666667,0.6666666667,0.6666666667,0.8148148148,0.9836522485,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
