TARGET_CLASS,algorithm,BranchCoverage,CoverageTimeline_T1,CoverageTimeline_T2,CoverageTimeline_T3,CoverageTimeline_T4,CoverageTimeline_T5,CoverageTimeline_T6,CoverageTimeline_T7,CoverageTimeline_T8,CoverageTimeline_T9,CoverageTimeline_T10,CoverageTimeline_T11,CoverageTimeline_T12,CoverageTimeline_T13,CoverageTimeline_T14,CoverageTimeline_T15,CoverageTimeline_T16,CoverageTimeline_T17,CoverageTimeline_T18,CoverageTimeline_T19,CoverageTimeline_T20,CoverageTimeline_T21,CoverageTimeline_T22,CoverageTimeline_T23,CoverageTimeline_T24,CoverageTimeline_T25,CoverageTimeline_T26,CoverageTimeline_T27,CoverageTimeline_T28,CoverageTimeline_T29,CoverageTimeline_T30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MAX GENERATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ByteVector,NOVELTY,0.5652173913,0.5434782609,0.5434782609,0.5434782609,0.5434782609,0.3913043478,0.3913043478,0.4097153378,0.4451210877,0.4630870534,0.4727704077,0.4782608696,0.4782608696,0.4782608696,0.2936153165,0.0217391304,0.1011453166,0.3564706741,0.4858557695,0.5003620867,0.5142884996,0.5217391304,0.5217391304,0.1182220202,0.0043957,0.3697582825,0.5217391304,0.5217391304,0.0789403562,0.2428546683,0.4918586523,0.5217391304,0.5217391304,0.5217391304,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913
ByteVector,NOVELTY,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913
ByteVector,NOVELTY,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913
ByteVector,NOVELTY,0.5652173913,0.5434782609,0.5434782609,0.5434782609,0.5434782609,0.3913043478,0.3913043478,0.4097153378,0.4451210877,0.4630870534,0.4727704077,0.4782608696,0.4782608696,0.4782608696,0.2936153165,0.0217391304,0.1011453166,0.3564706741,0.4858557695,0.5003620867,0.5142884996,0.5217391304,0.5217391304,0.1182220202,0.0043957,0.3697582825,0.5217391304,0.5217391304,0.0789403562,0.2428546683,0.4918586523,0.5217391304,0.5217391304,0.5217391304,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913
ByteVector,NOVELTY,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913
ByteVector,NOVELTY,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913
ByteVector,NOVELTY,0.5652173913,0.5434782609,0.5434782609,0.5434782609,0.5434782609,0.3913043478,0.3913043478,0.4097153378,0.4451210877,0.4630870534,0.4727704077,0.4782608696,0.4782608696,0.4782608696,0.2936153165,0.0217391304,0.1011453166,0.3564706741,0.4858557695,0.5003620867,0.5142884996,0.5217391304,0.5217391304,0.1182220202,0.0043957,0.3697582825,0.5217391304,0.5217391304,0.0789403562,0.2428546683,0.4918586523,0.5217391304,0.5217391304,0.5217391304,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913
ByteVector,NOVELTY,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913
ByteVector,NOVELTY,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913,0.5652173913
