TARGET_CLASS,algorithm,BranchCoverage,CoverageTimeline_T1,CoverageTimeline_T2,CoverageTimeline_T3,CoverageTimeline_T4,CoverageTimeline_T5,CoverageTimeline_T6,CoverageTimeline_T7,CoverageTimeline_T8,CoverageTimeline_T9,CoverageTimeline_T10,CoverageTimeline_T11,CoverageTimeline_T12,CoverageTimeline_T13,CoverageTimeline_T14,CoverageTimeline_T15,CoverageTimeline_T16,CoverageTimeline_T17,CoverageTimeline_T18,CoverageTimeline_T19,CoverageTimeline_T20,CoverageTimeline_T21,CoverageTimeline_T22,CoverageTimeline_T23,CoverageTimeline_T24,CoverageTimeline_T25,CoverageTimeline_T26,CoverageTimeline_T27,CoverageTimeline_T28,CoverageTimeline_T29,CoverageTimeline_T30
SubjectParser,NOVELTY,0.7741935484,0.7419354839,0.7419354839,0.7419354839,0.7419354839,0.7419354839,0.7419354839,0.7419354839,0.7419354839,0.7419354839,0.7419354839,0.7419354839,0.7419354839,0.7419354839,0.7419354839,0.7419354839,0.7419354839,0.7419354839,0.7419354839,0.7419354839,0.7419354839,0.7419354839,0.7419354839,0.7419354839,0.7419354839,0.7419354839,0.7419354839,0.7419354839,0.7419354839,0.7419354839,0.7419354839
SubjectParser,NOVELTY,0.7741935484,0.7419354839,0.7419354839,0.7419354839,0.7419354839,0.7419354839,0.7419354839,0.7419354839,0.7419354839,0.7419354839,0.7419354839,0.7419354839,0.7419354839,0.7419354839,0.7419354839,0.7419354839,0.7419354839,0.7419354839,0.7419354839,0.7419354839,0.7419354839,0.7419354839,0.7419354839,0.7419354839,0.7419354839,0.7419354839,0.7419354839,0.7419354839,0.7419354839,0.7419354839,0.7419354839
SubjectParser,NOVELTY,0.8064516129,0.8064516129,0.8064516129,0.8064516129,0.8064516129,0.8064516129,0.8064516129,0.8064516129,0.8064516129,0.8064516129,0.8064516129,0.8064516129,0.8064516129,0.8064516129,0.8064516129,0.8064516129,0.8064516129,0.8064516129,0.8064516129,0.8064516129,0.8064516129,0.8064516129,0.8064516129,0.8064516129,0.8064516129,0.8064516129,0.8064516129,0.8064516129,0.8064516129,0.8064516129,0.8064516129
SubjectParser,NOVELTY,0.8064516129,0.8064516129,0.8064516129,0.8064516129,0.8064516129,0.8064516129,0.8064516129,0.8064516129,0.8064516129,0.8064516129,0.8064516129,0.8064516129,0.8064516129,0.8064516129,0.8064516129,0.8064516129,0.8064516129,0.8064516129,0.8064516129,0.8064516129,0.8064516129,0.8064516129,0.8064516129,0.8064516129,0.8064516129,0.8064516129,0.8064516129,0.8064516129,0.8064516129,0.8064516129,0.8064516129
SubjectParser,NOVELTY,0.7741935484,0.7419354839,0.7419354839,0.7419354839,0.7419354839,0.7419354839,0.7419354839,0.7419354839,0.7419354839,0.7419354839,0.7419354839,0.7419354839,0.7419354839,0.7419354839,0.7419354839,0.7419354839,0.7419354839,0.7419354839,0.7419354839,0.7419354839,0.7419354839,0.7419354839,0.7419354839,0.7419354839,0.7419354839,0.7419354839,0.7419354839,0.7419354839,0.7419354839,0.7419354839,0.7419354839
SubjectParser,NOVELTY,0.8387096774,0.8709677419,0.8709677419,0.8709677419,0.8709677419,0.8709677419,0.8709677419,0.8709677419,0.8709677419,0.8709677419,0.8709677419,0.8709677419,0.8709677419,0.8709677419,0.8709677419,0.8709677419,0.8709677419,0.8709677419,0.8709677419,0.8709677419,0.8709677419,0.8709677419,0.8709677419,0.8709677419,0.8709677419,0.8709677419,0.8709677419,0.8709677419,0.8709677419,0.8709677419,0.8709677419
SubjectParser,NOVELTY,0.8387096774,0.8709677419,0.8709677419,0.8709677419,0.8709677419,0.8709677419,0.8709677419,0.8709677419,0.8709677419,0.8709677419,0.8709677419,0.8709677419,0.8709677419,0.8709677419,0.8709677419,0.8709677419,0.8709677419,0.8709677419,0.8709677419,0.8709677419,0.8709677419,0.8709677419,0.8709677419,0.8709677419,0.8709677419,0.8709677419,0.8709677419,0.8709677419,0.8709677419,0.8709677419,0.8709677419
SubjectParser,NOVELTY,0.8387096774,0.6774193548,0.6774193548,0.6774193548,0.6774193548,0.6774193548,0.6774193548,0.6774193548,0.6774193548,0.6797339636,0.6854774096,0.6912208556,0.6969643016,0.7027077476,0.7084511936,0.7141946396,0.7199380857,0.7256815317,0.7314249777,0.7371684237,0.7429118697,0.7486553157,0.7543987617,0.7601422077,0.7658856537,0.7716290997,0.7773725458,0.7831159918,0.7888594378,0.7946028838,0.8003463298
StringReader,NOVELTY,1,0.6666666667,0.6666666667,0.6666666667,0.6666666667,0.6666666667,0.6689671413,0.6780241278,0.6870811144,0.6961381009,0.7051950875,0.714252074,0.7233090606,0.7323660472,0.7414230337,0.7504800203,0.7595370068,0.7685939934,0.77765098,0.7867079665,0.7957649531,0.8048219396,0.8138789262,0.8229359128,0.8319928993,0.8410498859,0.8501068724,0.859163859,0.8682208456,0.8772778321,0.8863348187
StringReader,NOVELTY,1,0.7037037037,0.7037037037,0.7037037037,0.7037037037,0.7038212283,0.7122158423,0.7206104563,0.7290050703,0.7373996844,0.7457942984,0.7541889124,0.7625835264,0.7709781404,0.7793727544,0.7877673685,0.7961619825,0.8045565965,0.8129512105,0.8213458245,0.8297404385,0.8381350526,0.8465296666,0.8549242806,0.8633188946,0.8717135086,0.8801081226,0.8885027366,0.8968973507,0.9052919647,0.9136865787
StringReader,NOVELTY,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
StringReader,NOVELTY,1,0.5925925926,0.5925925926,0.5925925926,0.5925925926,0.5925925926,0.6003458802,0.6119525982,0.6235593161,0.6351660341,0.6467727521,0.65837947,0.669986188,0.681592906,0.6931996239,0.7048063419,0.7164130599,0.7280197778,0.7396264958,0.7512332138,0.7628399318,0.7744466497,0.7860533677,0.7976600857,0.8092668036,0.8208735216,0.8324802396,0.8440869575,0.8556936755,0.8673003935,0.8789071114
StringReader,NOVELTY,1,0.4814814815,0.4814814815,0.4814814815,0.4814814815,0.4814814815,0.4814814815,0.4878841798,0.502175917,0.5164676542,0.5307593915,0.5450511287,0.5593428659,0.5736346032,0.5879263404,0.6022180776,0.6165098149,0.6308015521,0.6450932893,0.6593850265,0.6736767638,0.687968501,0.7022602382,0.7165519755,0.7308437127,0.7451354499,0.7594271872,0.7737189244,0.7880106616,0.8023023989,0.8165941361
StringReader,NOVELTY,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
StringReader,NOVELTY,1,0.7037037037,0.7037037037,0.7037037037,0.7037037037,0.7037037037,0.711257834,0.7196419963,0.7280261586,0.7364103209,0.7447944832,0.7531786455,0.7615628079,0.7699469702,0.7783311325,0.7867152948,0.7950994571,0.8034836194,0.8118677818,0.8202519441,0.8286361064,0.8370202687,0.845404431,0.8537885933,0.8621727557,0.870556918,0.8789410803,0.8873252426,0.8957094049,0.9040935673,0.9124777296
StringReader,NOVELTY,1,0.5185185185,0.5185185185,0.5185185185,0.5185185185,0.5185185185,0.5185185185,0.5248348804,0.5382739482,0.5517130159,0.5651520837,0.5785911515,0.5920302193,0.6054692871,0.6189083549,0.6323474226,0.6457864904,0.6592255582,0.672664626,0.6861036938,0.6995427616,0.7129818293,0.7264208971,0.7398599649,0.7532990327,0.7667381005,0.7801771683,0.793616236,0.8070553038,0.8204943716,0.8339334394
StringReader,NOVELTY,1,0.6296296296,0.6296296296,0.6296296296,0.6296296296,0.6296296296,0.6326155613,0.6430558818,0.6534962023,0.6639365229,0.6743768434,0.6848171639,0.6952574844,0.7056978049,0.7161381254,0.726578446,0.7370187665,0.747459087,0.7578994075,0.768339728,0.7787800485,0.7892203691,0.7996606896,0.8101010101,0.8205413306,0.8309816511,0.8414219717,0.8518622922,0.8623026127,0.8727429332,0.8831832537
StringReader,NOVELTY,1,0.7777777778,0.7777777778,0.7777777778,0.7777777778,0.7777777778,0.7777777778,0.7777777778,0.7813956724,0.7871935806,0.7929914887,0.7987893968,0.8045873049,0.810385213,0.8161831211,0.8219810292,0.8277789374,0.8335768455,0.8393747536,0.8451726617,0.8509705698,0.8567684779,0.862566386,0.8683642942,0.8741622023,0.8799601104,0.8857580185,0.8915559266,0.8973538347,0.9031517429,0.908949651
HSLColor,NOVELTY,0.9014084507,0.8309859155,0.8309859155,0.8309859155,0.8309859155,0.8309859155,0.8309859155,0.8315949513,0.8330696144,0.8345442775,0.8360189406,0.8374936036,0.8389682667,0.8404429298,0.8419175929,0.843392256,0.844866919,0.8463415821,0.8478162452,0.8492909083,0.8507655713,0.8522402344,0.8537148975,0.8551895606,0.8566642236,0.8581388867,0.8596135498,0.8610882129,0.8625628759,0.864037539,0.8655122021
HSLColor,NOVELTY,0.9014084507,0.8169014085,0.8169014085,0.8169014085,0.8169014085,0.8169014085,0.8169014085,0.8169014085,0.8186796116,0.8215247367,0.8243698617,0.8272149868,0.8300601118,0.8329052369,0.8357503619,0.8385954869,0.841440612,0.844285737,0.8471308621,0.8499759871,0.8528211122,0.8556662372,0.8585113623,0.8613564873,0.8642016124,0.8670467374,0.8698918625,0.8727369875,0.8755821126,0.8784272376,0.8812723627
HSLColor,NOVELTY,0.9014084507,0.8732394366,0.8732394366,0.8732394366,0.8732394366,0.8732394366,0.8732394366,0.8732394366,0.8732394366,0.8732394366,0.8732394366,0.8732394366,0.8732394366,0.8732394366,0.8732394366,0.8732394366,0.8732394366,0.8732394366,0.8732394366,0.8732394366,0.8732394366,0.8732394366,0.8732394366,0.8732394366,0.8732394366,0.8732394366,0.8732394366,0.8732394366,0.8732394366,0.8732394366,0.8732394366
